ID,Group_1,Group_2,Group_3,Nest_attendance_P1_5_scaled,LG_P1_5_scaled
5M1,1,0,0,-1.3692165,1.2104
33M1,0,0,0,0.113303,0.400842
55M1,0,1,0,-1.500014,0.074092
63M1,0,0,1,-1.0230915,-2.0808
49M1,0,0,0,2.085406875,1.338215
84M1,0,0,0,0.0692715,-0.027052
100M1,0,1,0,0.4153325,0.275874
9M1,0,0,0,-0.59,-1.829332
35M1,0,0,0,-1.094189,-0.7715
58M1,1,0,0,1.364054375,-0.810735
67M1,1,0,0,0.20430125,-0.812545
50M1,0,0,0,-0.272851875,2.4659425
88M1,0,0,1,0.272489,-0.510072
103M1,0,1,0,-0.033597,-0.914148
11M1,0,1,0,0.6548845,2.349032
38M1,0,1,0,-0.8649415,1.036666
61M1,0,0,1,-0.580716,1.283448
68M1,1,0,0,-0.856697,-0.250522
91M1,0,0,1,0.880781875,0.6825625
39M1,0,1,0,1.996667,1.244134
14M1,1,0,0,1.0945695,2.155164
53M1,0,1,0,-0.546126,-1.91603
62M1,0,0,1,-0.770333,0.64242
73M1,1,0,0,0.1709945,0.4722
52M1,0,0,0,-0.367858,0.26765
46M1,0,0,1,-0.2527095,0.602444
77M1,0,0,1,-0.2579265,0.610404
93M1,1,0,0,0.644144375,0.9681325